
> bank-admin@0.1.0 dev
> next dev --turbopack

   ▲ Next.js 15.5.3 (Turbopack)
   - Local:        http://localhost:44888
   - Network:      http://172.17.0.3:44888

 ✓ Starting...
 ✓ Compiled middleware in 130ms
 ✓ Ready in 1197ms
 ○ Compiling /login ...
 ✓ Compiled /login in 3.9s
 GET / 200 in 1581ms
 GET /login?next=%2F 200 in 4319ms
 ✓ Compiled /favicon.ico in 142ms
 GET /favicon.ico?favicon.0b3bf435.ico 200 in 403ms
 GET /favicon.ico?favicon.0b3bf435.ico 200 in 243ms
 GET /login?next=%2F 200 in 77ms
 GET /login?next=%2F 200 in 75ms
 ✓ Compiled /_not-found/page in 207ms
 GET /admins 404 in 266ms
 GET /admins 404 in 96ms
 GET /favicon.ico?favicon.0b3bf435.ico 200 in 247ms
 GET / 200 in 57ms
 GET /login?next=%2F 200 in 92ms
 GET /login?next=%2F 200 in 74ms
 GET /login?next=%2F 200 in 79ms
 GET /login?next=%2F 200 in 74ms
 GET /login?next=%2F 200 in 74ms
 GET /login?next=%2F 200 in 66ms
 GET /login?next=%2F 200 in 68ms
 GET /login?next=%2F 200 in 69ms
 GET /login?next=%2F 200 in 81ms
 GET /login?next=%2F 200 in 58ms
 GET /login?next=%2F 200 in 62ms
 GET /login?next=%2F 200 in 63ms
 GET /login?next=%2F 200 in 71ms
 GET /login?next=%2F 200 in 81ms
 GET /login?next=%2F 200 in 73ms
 GET /login?next=%2F 200 in 73ms
 GET /login?next=%2F 200 in 63ms
 GET /login?next=%2F 200 in 72ms
 GET /login?next=%2F 200 in 66ms
 GET /login?next=%2F 200 in 61ms
 GET /login?next=%2F 200 in 66ms
 GET /login?next=%2F 200 in 61ms
 GET /login?next=%2F 200 in 64ms
 GET /login?next=%2F 200 in 62ms
 GET /login?next=%2F 200 in 61ms
 GET /login?next=%2F 200 in 61ms
 GET /login?next=%2F 200 in 74ms
 GET /login?next=%2F 200 in 57ms
 GET /login?next=%2F 200 in 65ms
 GET /login?next=%2F 200 in 63ms
 GET /login?next=%2F 200 in 62ms
 GET /login?next=%2F 200 in 58ms
 GET /login?next=%2F 200 in 71ms
 GET /login?next=%2F 200 in 72ms
 GET /login?next=%2F 200 in 87ms
 GET / 200 in 105ms
 GET /favicon.ico?favicon.0b3bf435.ico 200 in 245ms
 GET /login?next=%2F 200 in 76ms
 GET /login?next=%2F 200 in 68ms
 GET /login?next=%2F 200 in 73ms
 GET /login?next=%2F 200 in 83ms
 GET /login?next=%2F 200 in 71ms
 GET /login?next=%2F 200 in 79ms
 GET /login?next=%2F 200 in 76ms
 GET /login?next=%2F 200 in 72ms
 GET /login?next=%2F 200 in 79ms
 GET /login?next=%2F 200 in 66ms
 GET /login?next=%2F 200 in 76ms
 GET /login?next=%2F 200 in 66ms
 GET /login?next=%2F 200 in 84ms
 GET /login?next=%2F 200 in 64ms
 GET /login?next=%2F 200 in 66ms
 GET /login?next=%2F 200 in 75ms
 GET /login?next=%2F 200 in 78ms
 GET /login?next=%2F 200 in 84ms
 GET /login?next=%2F 200 in 80ms
 GET /login?next=%2F 200 in 90ms
